,Open,High,Low,Close,C/C(-1) - 1,log^2(H/L),log^2(C/O),GK,o,u,d,c,RS,,,,,,,,
12/31/2014,2082.11,2085.58,2057.94,2058.9,,0.0178%,0.0126%,0.0138%,,,,,,,,,,,,,
1/2/2015,2058.9,2072.36,2046.04,2058.2,-0.03%,0.0163%,0.0000%,0.0082%,0.00%,0.65%,-0.63%,-0.03%,0.01%,,,,,,,,
1/5/2015,2054.44,2054.44,2017.34,2020.58,-1.83%,0.0332%,0.0276%,0.0273%,-0.18%,0.00%,-1.82%,-1.66%,0.00%,,,,,,,,
1/6/2015,2022.15,2030.25,1992.44,2002.61,-0.89%,0.0353%,0.0094%,0.0213%,0.08%,0.40%,-1.48%,-0.97%,0.01%,,,,,,,,
1/7/2015,2005.55,2029.61,2005.55,2025.9,1.16%,0.0142%,0.0102%,0.0110%,0.15%,1.19%,0.00%,1.01%,0.00%,,,,,,,,
1/8/2015,2030.61,2064.08,2030.61,2062.14,1.79%,0.0267%,0.0237%,0.0225%,0.23%,1.63%,0.00%,1.54%,0.00%,,,,,,,,
1/9/2015,2063.45,2064.43,2038.33,2044.81,-0.84%,0.0162%,0.0082%,0.0113%,0.06%,0.05%,-1.22%,-0.91%,0.00%,,,,,,,,
1/12/2015,2046.13,2049.3,2022.58,2028.26,-0.81%,0.0172%,0.0077%,0.0116%,0.06%,0.15%,-1.16%,-0.88%,0.00%,,,,,,,,
1/13/2015,2031.58,2056.93,2008.25,2023.03,-0.26%,0.0574%,0.0018%,0.0294%,0.16%,1.24%,-1.16%,-0.42%,0.03%,,,,,,,,
1/14/2015,2018.4,2018.4,1988.44,2011.27,-0.58%,0.0224%,0.0013%,0.0117%,-0.23%,0.00%,-1.50%,-0.35%,0.02%,,,,,,,,
1/15/2015,2013.75,2021.35,1991.47,1992.67,-0.92%,0.0222%,0.0111%,0.0154%,0.12%,0.38%,-1.11%,-1.05%,0.01%,,,,,,,,
1/16/2015,1992.25,2020.46,1988.12,2019.42,1.34%,0.0260%,0.0183%,0.0201%,-0.02%,1.41%,-0.21%,1.35%,0.00%,,,,,,,,
